Mês/Ano;Data;Hora;Estado;Tempo (h)
01/2021;18/01/2021;14:00;DESLOC P/ REAB;0,2
01/2021;18/01/2021;14:00;DESLOCAMENTO;0,1
01/2021;18/01/2021;14:00;MANOBRA;0,1
01/2021;18/01/2021;14:00;PARADA;0,5
01/2021;18/01/2021;14:00;TRABALHANDO;1,3
01/2021;18/01/2021;15:00;DESLOCAMENTO;0,4
01/2021;18/01/2021;15:00;PARADA;1,3
01/2021;18/01/2021;16:00;DESLOCAMENTO;0,5
01/2021;19/01/2021;07:00;DESLOCAMENTO;0,1
01/2021;19/01/2021;07:00;PARADA;0,1
01/2021;19/01/2021;08:00;DESLOCAMENTO;0,6
01/2021;19/01/2021;08:00;MANOBRA;0,1
01/2021;19/01/2021;08:00;PARADA;0,1
01/2021;19/01/2021;08:00;TRABALHANDO;1,3
01/2021;19/01/2021;09:00;DESLOCAMENTO;0,4
01/2021;19/01/2021;09:00;PARADA;1,4
01/2021;19/01/2021;09:00;TRABALHANDO;0,5
01/2021;19/01/2021;10:00;DESLOCAMENTO;0,2
01/2021;19/01/2021;10:00;MANOBRA;0,1
01/2021;19/01/2021;10:00;PARADA;0,5
01/2021;19/01/2021;10:00;TRABALHANDO;0,9
01/2021;19/01/2021;11:00;DESLOCAMENTO;0,4
01/2021;19/01/2021;11:00;MANOBRA;0,2
01/2021;19/01/2021;11:00;PARADA;0,5
01/2021;19/01/2021;11:00;TRABALHANDO;1,0
01/2021;19/01/2021;12:00;DESLOC P/ REAB;0,2
01/2021;19/01/2021;12:00;DESLOCAMENTO;0,6
01/2021;19/01/2021;12:00;PARADA;0,9
01/2021;19/01/2021;12:00;TRABALHANDO;0,2
01/2021;19/01/2021;13:00;DESLOCAMENTO;0,1
01/2021;19/01/2021;13:00;PARADA;1,6
01/2021;19/01/2021;13:00;TRABALHANDO;0,5
01/2021;19/01/2021;14:00;DESLOC P/ REAB;0,2
01/2021;19/01/2021;14:00;DESLOCAMENTO;0,1
01/2021;19/01/2021;14:00;PARADA;1,6
01/2021;19/01/2021;14:00;TRABALHANDO;0,3
01/2021;19/01/2021;15:00;DESLOC P/ REAB;0,2
01/2021;19/01/2021;15:00;DESLOCAMENTO;0,1
01/2021;19/01/2021;15:00;PARADA;0,3
01/2021;19/01/2021;15:00;TRABALHANDO;0,9
01/2021;19/01/2021;16:00;DESLOCAMENTO;0,4
01/2021;19/01/2021;16:00;PARADA;1,5
01/2021;19/01/2021;16:00;TRABALHANDO;0,4
01/2021;19/01/2021;17:00;DESLOCAMENTO;0,3
01/2021;19/01/2021;17:00;PARADA;0,2
01/2021;20/01/2021;05:00;DESLOC P/ REAB;0,2
01/2021;20/01/2021;05:00;DESLOCAMENTO;0,1
01/2021;20/01/2021;05:00;PARADA;1,4
01/2021;20/01/2021;06:00;DESLOC P/ REAB;0,1
01/2021;20/01/2021;06:00;DESLOCAMENTO;0,1
01/2021;20/01/2021;06:00;MANOBRA;0,1
01/2021;20/01/2021;06:00;PARADA;0,5
01/2021;20/01/2021;06:00;TRABALHANDO;1,3
01/2021;20/01/2021;07:00;DESLOC P/ REAB;0,1
01/2021;20/01/2021;07:00;DESLOCAMENTO;0,3
01/2021;20/01/2021;07:00;MANOBRA;0,1
01/2021;20/01/2021;07:00;PARADA;0,6
01/2021;20/01/2021;07:00;TRABALHANDO;0,8
01/2021;20/01/2021;08:00;DESLOC P/ REAB;0,1
01/2021;20/01/2021;08:00;DESLOCAMENTO;0,3
01/2021;20/01/2021;08:00;MANOBRA;0,1
01/2021;20/01/2021;08:00;PARADA;0,6
01/2021;20/01/2021;08:00;TRABALHANDO;0,9
01/2021;20/01/2021;09:00;DESLOC P/ REAB;0,1
01/2021;20/01/2021;09:00;DESLOCAMENTO;0,2
01/2021;20/01/2021;09:00;MANOBRA;0,1
01/2021;20/01/2021;09:00;PARADA;0,4
01/2021;20/01/2021;09:00;TRABALHANDO;1,3
01/2021;20/01/2021;10:00;DESLOCAMENTO;0,5
01/2021;20/01/2021;10:00;MANOBRA;0,1
01/2021;20/01/2021;10:00;PARADA;0,3
01/2021;20/01/2021;10:00;TRABALHANDO;1,1
01/2021;20/01/2021;11:00;DESLOCAMENTO;0,2
01/2021;20/01/2021;11:00;PARADA;2,0
01/2021;20/01/2021;12:00;DESLOCAMENTO;0,4
01/2021;20/01/2021;12:00;PARADA;1,9
01/2021;20/01/2021;13:00;DESLOC P/ REAB;0,2
01/2021;20/01/2021;13:00;PARADA;1,0
01/2021;20/01/2021;13:00;TRABALHANDO;0,3
01/2021;20/01/2021;14:00;DESLOC P/ REAB;0,2
01/2021;20/01/2021;14:00;DESLOCAMENTO;0,2
01/2021;20/01/2021;14:00;MANOBRA;0,1
01/2021;20/01/2021;14:00;PARADA;0,5
01/2021;20/01/2021;14:00;TRABALHANDO;1,2
01/2021;20/01/2021;15:00;DESLOC P/ REAB;0,2
01/2021;20/01/2021;15:00;DESLOCAMENTO;0,2
01/2021;20/01/2021;15:00;MANOBRA;0,1
01/2021;20/01/2021;15:00;PARADA;0,3
01/2021;20/01/2021;15:00;TRABALHANDO;1,0
01/2021;20/01/2021;16:00;DESLOCAMENTO;0,3
01/2021;20/01/2021;16:00;MANOBRA;0,1
01/2021;20/01/2021;16:00;PARADA;1,5
01/2021;20/01/2021;16:00;TRABALHANDO;0,7
01/2021;20/01/2021;17:00;PARADA;1,7
01/2021;20/01/2021;18:00;DESLOC P/ REAB;0,1
01/2021;20/01/2021;18:00;DESLOCAMENTO;0,2
01/2021;20/01/2021;18:00;MANOBRA;0,2
01/2021;20/01/2021;18:00;TRABALHANDO;1,1
01/2021;20/01/2021;19:00;DESLOC P/ REAB;0,2
01/2021;20/01/2021;19:00;MANOBRA;0,1
01/2021;20/01/2021;19:00;PARADA;0,5
01/2021;20/01/2021;19:00;TRABALHANDO;1,1
01/2021;20/01/2021;20:00;DESLOCAMENTO;0,5
01/2021;20/01/2021;20:00;MANOBRA;0,1
01/2021;20/01/2021;20:00;PARADA;0,1
01/2021;20/01/2021;20:00;TRABALHANDO;0,3
01/2021;21/01/2021;04:00;DESLOC P/ REAB;0,3
01/2021;21/01/2021;04:00;DESLOCAMENTO;0,1
01/2021;21/01/2021;04:00;PARADA;1,0
01/2021;21/01/2021;05:00;DESLOC P/ REAB;0,2
01/2021;21/01/2021;05:00;DESLOCAMENTO;0,1
01/2021;21/01/2021;05:00;MANOBRA;0,1
01/2021;21/01/2021;05:00;PARADA;0,5
01/2021;21/01/2021;05:00;TRABALHANDO;0,9
01/2021;21/01/2021;06:00;DESLOC P/ REAB;0,3
01/2021;21/01/2021;06:00;PARADA;1,7
01/2021;21/01/2021;06:00;TRABALHANDO;0,3
01/2021;21/01/2021;07:00;DESLOC P/ REAB;0,2
01/2021;21/01/2021;07:00;DESLOCAMENTO;0,5
01/2021;21/01/2021;07:00;PARADA;0,3
01/2021;21/01/2021;07:00;TRABALHANDO;0,7
01/2021;21/01/2021;08:00;DESLOC P/ REAB;0,2
01/2021;21/01/2021;08:00;DESLOCAMENTO;0,2
01/2021;21/01/2021;08:00;MANOBRA;0,1
01/2021;21/01/2021;08:00;PARADA;0,3
01/2021;21/01/2021;08:00;TRABALHANDO;1,1
01/2021;21/01/2021;09:00;DESLOC P/ REAB;0,1
01/2021;21/01/2021;09:00;DESLOCAMENTO;0,2
01/2021;21/01/2021;09:00;MANOBRA;0,1
01/2021;21/01/2021;09:00;PARADA;0,8
01/2021;21/01/2021;09:00;TRABALHANDO;0,8
01/2021;21/01/2021;10:00;DESLOC P/ REAB;0,1
01/2021;21/01/2021;10:00;DESLOCAMENTO;0,2
01/2021;21/01/2021;10:00;MANOBRA;0,1
01/2021;21/01/2021;10:00;PARADA;0,4
01/2021;21/01/2021;10:00;TRABALHANDO;1,2
01/2021;21/01/2021;11:00;DESLOCAMENTO;0,2
01/2021;21/01/2021;11:00;PARADA;1,0
01/2021;21/01/2021;11:00;TRABALHANDO;0,2
01/2021;21/01/2021;12:00;PARADA;0,7
01/2021;21/01/2021;13:00;PARADA;2,4
01/2021;21/01/2021;14:00;DESLOCAMENTO;0,1
01/2021;21/01/2021;14:00;PARADA;1,7
01/2021;21/01/2021;15:00;DESLOCAMENTO;0,2
01/2021;21/01/2021;15:00;PARADA;1,7
01/2021;21/01/2021;16:00;DESLOC P/ REAB;0,1
01/2021;21/01/2021;16:00;MANOBRA;0,1
01/2021;21/01/2021;16:00;PARADA;0,8
01/2021;21/01/2021;16:00;TRABALHANDO;0,6
01/2021;21/01/2021;17:00;DESLOC P/ REAB;0,1
01/2021;21/01/2021;17:00;DESLOCAMENTO;0,4
01/2021;21/01/2021;17:00;MANOBRA;0,1
01/2021;21/01/2021;17:00;PARADA;0,3
01/2021;21/01/2021;17:00;TRABALHANDO;1,1
01/2021;21/01/2021;18:00;DESLOCAMENTO;0,5
01/2021;21/01/2021;18:00;PARADA;0,3
01/2021;22/01/2021;07:00;DESLOCAMENTO;0,5
01/2021;22/01/2021;07:00;PARADA;1,7
01/2021;22/01/2021;08:00;DESLOC P/ REAB;0,2
01/2021;22/01/2021;08:00;PARADA;0,8
01/2021;22/01/2021;08:00;TRABALHANDO;0,4
01/2021;22/01/2021;09:00;DESLOC P/ REAB;0,1
01/2021;22/01/2021;09:00;DESLOCAMENTO;0,2
01/2021;22/01/2021;09:00;MANOBRA;0,2
01/2021;22/01/2021;09:00;PARADA;0,1
01/2021;22/01/2021;09:00;TRABALHANDO;1,4
01/2021;22/01/2021;10:00;DESLOC P/ REAB;0,2
01/2021;22/01/2021;10:00;DESLOCAMENTO;0,5
01/2021;22/01/2021;10:00;MANOBRA;0,1
01/2021;22/01/2021;10:00;PARADA;0,4
01/2021;22/01/2021;10:00;TRABALHANDO;0,8
01/2021;22/01/2021;11:00;DESLOCAMENTO;0,3
01/2021;22/01/2021;11:00;PARADA;0,1
01/2021;22/01/2021;11:00;TRABALHANDO;0,5
01/2021;22/01/2021;15:00;DESLOCAMENTO;0,2
01/2021;22/01/2021;15:00;PARADA;1,2
01/2021;22/01/2021;16:00;DESLOCAMENTO;0,2
01/2021;22/01/2021;16:00;PARADA;0,2
01/2021;23/01/2021;07:00;DESLOCAMENTO;0,3
01/2021;23/01/2021;07:00;PARADA;1,0
01/2021;23/01/2021;08:00;PARADA;2,0
01/2021;23/01/2021;09:00;DESLOC P/ REAB;0,1
01/2021;23/01/2021;09:00;DESLOCAMENTO;0,1
01/2021;23/01/2021;09:00;PARADA;0,8
01/2021;23/01/2021;09:00;TRABALHANDO;0,6
01/2021;23/01/2021;10:00;DESLOC P/ REAB;0,2
01/2021;23/01/2021;10:00;DESLOCAMENTO;0,1
01/2021;23/01/2021;10:00;MANOBRA;0,1
01/2021;23/01/2021;10:00;PARADA;0,3
01/2021;23/01/2021;10:00;TRABALHANDO;1,3
01/2021;23/01/2021;11:00;DESLOCAMENTO;0,4
01/2021;23/01/2021;11:00;TRABALHANDO;0,9
01/2021;23/01/2021;15:00;DESLOC P/ REAB;0,2
01/2021;23/01/2021;15:00;DESLOCAMENTO;0,4
01/2021;23/01/2021;15:00;PARADA;0,9
01/2021;23/01/2021;15:00;TRABALHANDO;0,2
01/2021;23/01/2021;16:00;DESLOC P/ REAB;0,2
01/2021;23/01/2021;16:00;DESLOCAMENTO;0,2
01/2021;23/01/2021;16:00;MANOBRA;0,1
01/2021;23/01/2021;16:00;PARADA;0,3
01/2021;23/01/2021;16:00;TRABALHANDO;1,3
01/2021;23/01/2021;17:00;DESLOC P/ REAB;0,3
01/2021;23/01/2021;17:00;DESLOCAMENTO;0,4
01/2021;23/01/2021;17:00;PARADA;0,2
01/2021;23/01/2021;17:00;TRABALHANDO;1,0
01/2021;23/01/2021;18:00;DESLOC P/ REAB;0,1
01/2021;23/01/2021;18:00;DESLOCAMENTO;0,3
01/2021;23/01/2021;18:00;MANOBRA;0,1
01/2021;23/01/2021;18:00;PARADA;0,7
01/2021;23/01/2021;18:00;TRABALHANDO;0,9
01/2021;23/01/2021;19:00;DESLOC P/ REAB;0,1
01/2021;23/01/2021;19:00;DESLOCAMENTO;0,5
01/2021;23/01/2021;19:00;MANOBRA;0,1
01/2021;23/01/2021;19:00;PARADA;0,4
01/2021;23/01/2021;19:00;TRABALHANDO;0,9
01/2021;23/01/2021;20:00;DESLOCAMENTO;0,7
01/2021;23/01/2021;20:00;MANOBRA;0,1
01/2021;23/01/2021;20:00;PARADA;0,4
01/2021;23/01/2021;20:00;TRABALHANDO;0,8
01/2021;23/01/2021;21:00;DESLOCAMENTO;0,2
01/2021;24/01/2021;05:00;DESLOC P/ REAB;0,4
01/2021;24/01/2021;05:00;DESLOCAMENTO;0,3
01/2021;24/01/2021;05:00;PARADA;1,3
01/2021;24/01/2021;06:00;DESLOC P/ REAB;0,2
01/2021;24/01/2021;06:00;DESLOCAMENTO;0,1
01/2021;24/01/2021;06:00;MANOBRA;0,1
01/2021;24/01/2021;06:00;PARADA;0,4
01/2021;24/01/2021;06:00;TRABALHANDO;1,2
01/2021;24/01/2021;07:00;DESLOC P/ REAB;0,1
01/2021;24/01/2021;07:00;DESLOCAMENTO;0,1
01/2021;24/01/2021;07:00;MANOBRA;0,1
01/2021;24/01/2021;07:00;PARADA;0,9
01/2021;24/01/2021;07:00;TRABALHANDO;0,7
01/2021;24/01/2021;08:00;DESLOC P/ REAB;0,1
01/2021;24/01/2021;08:00;DESLOCAMENTO;0,2
01/2021;24/01/2021;08:00;MANOBRA;0,1
01/2021;24/01/2021;08:00;PARADA;0,2
01/2021;24/01/2021;08:00;TRABALHANDO;1,5
01/2021;24/01/2021;09:00;DESLOC P/ REAB;0,3
01/2021;24/01/2021;09:00;DESLOCAMENTO;0,4
01/2021;24/01/2021;09:00;MANOBRA;0,1
01/2021;24/01/2021;09:00;PARADA;0,3
01/2021;24/01/2021;09:00;TRABALHANDO;0,9
01/2021;24/01/2021;10:00;DESLOC P/ REAB;0,3
01/2021;24/01/2021;10:00;DESLOCAMENTO;0,1
01/2021;24/01/2021;10:00;MANOBRA;0,2
01/2021;24/01/2021;10:00;PARADA;0,1
01/2021;24/01/2021;10:00;TRABALHANDO;1,4
01/2021;24/01/2021;11:00;DESLOCAMENTO;0,7
01/2021;24/01/2021;11:00;PARADA;0,6
01/2021;24/01/2021;11:00;TRABALHANDO;0,2
01/2021;25/01/2021;05:00;DESLOC P/ REAB;0,1
01/2021;25/01/2021;05:00;DESLOCAMENTO;0,2
01/2021;25/01/2021;05:00;PARADA;1,3
01/2021;25/01/2021;06:00;DESLOC P/ REAB;0,1
01/2021;25/01/2021;06:00;DESLOCAMENTO;0,1
01/2021;25/01/2021;06:00;MANOBRA;0,1
01/2021;25/01/2021;06:00;PARADA;1,2
01/2021;25/01/2021;06:00;TRABALHANDO;0,4
01/2021;25/01/2021;07:00;DESLOC P/ REAB;0,1
01/2021;25/01/2021;07:00;DESLOCAMENTO;0,1
01/2021;25/01/2021;07:00;MANOBRA;0,1
01/2021;25/01/2021;07:00;PARADA;1,2
01/2021;25/01/2021;07:00;TRABALHANDO;1,0
01/2021;25/01/2021;08:00;DESLOCAMENTO;0,2
01/2021;25/01/2021;08:00;PARADA;1,6
01/2021;25/01/2021;09:00;DESLOC P/ REAB;0,1
01/2021;25/01/2021;09:00;PARADA;1,8
01/2021;25/01/2021;10:00;DESLOCAMENTO;0,2
01/2021;25/01/2021;10:00;MANOBRA;0,1
01/2021;25/01/2021;10:00;PARADA;0,6
01/2021;25/01/2021;10:00;TRABALHANDO;0,7
01/2021;25/01/2021;11:00;DESLOCAMENTO;0,1
01/2021;25/01/2021;14:00;PARADA;0,9
01/2021;25/01/2021;15:00;DESLOCAMENTO;0,2
01/2021;25/01/2021;15:00;PARADA;1,5
01/2021;25/01/2021;16:00;DESLOCAMENTO;0,2
01/2021;25/01/2021;16:00;PARADA;1,1
01/2021;25/01/2021;16:00;TRABALHANDO;0,2
01/2021;25/01/2021;17:00;DESLOC P/ REAB;0,2
01/2021;25/01/2021;17:00;DESLOCAMENTO;0,3
01/2021;25/01/2021;17:00;MANOBRA;0,1
01/2021;25/01/2021;17:00;PARADA;0,3
01/2021;25/01/2021;17:00;TRABALHANDO;1,3
01/2021;25/01/2021;18:00;DESLOC P/ REAB;0,1
01/2021;25/01/2021;18:00;DESLOCAMENTO;0,1
01/2021;25/01/2021;18:00;MANOBRA;0,1
01/2021;25/01/2021;18:00;PARADA;1,1
01/2021;25/01/2021;18:00;TRABALHANDO;0,6
01/2021;25/01/2021;19:00;DESLOC P/ REAB;0,1
01/2021;25/01/2021;19:00;DESLOCAMENTO;0,2
01/2021;25/01/2021;19:00;PARADA;1,1
01/2021;25/01/2021;19:00;TRABALHANDO;0,4
01/2021;25/01/2021;20:00;DESLOCAMENTO;0,2
01/2021;25/01/2021;20:00;TRABALHANDO;0,5
01/2021;26/01/2021;04:00;DESLOCAMENTO;0,2
01/2021;26/01/2021;04:00;PARADA;1,0
01/2021;26/01/2021;05:00;DESLOC P/ REAB;0,1
01/2021;26/01/2021;05:00;DESLOCAMENTO;0,1
01/2021;26/01/2021;05:00;PARADA;0,9
01/2021;26/01/2021;05:00;TRABALHANDO;0,5
01/2021;26/01/2021;06:00;DESLOCAMENTO;0,4
01/2021;26/01/2021;06:00;MANOBRA;0,1
01/2021;26/01/2021;06:00;PARADA;1,1
01/2021;26/01/2021;06:00;TRABALHANDO;0,9
01/2021;26/01/2021;07:00;PARADA;1,7
01/2021;26/01/2021;08:00;DESLOC P/ REAB;0,2
01/2021;26/01/2021;08:00;DESLOCAMENTO;0,1
01/2021;26/01/2021;08:00;MANOBRA;0,1
01/2021;26/01/2021;08:00;PARADA;0,6
01/2021;26/01/2021;08:00;TRABALHANDO;0,9
01/2021;26/01/2021;09:00;DESLOCAMENTO;0,1
01/2021;26/01/2021;09:00;MANOBRA;0,1
01/2021;26/01/2021;09:00;PARADA;0,9
01/2021;26/01/2021;09:00;TRABALHANDO;0,9
01/2021;26/01/2021;10:00;DESLOC P/ REAB;0,1
01/2021;26/01/2021;10:00;DESLOCAMENTO;0,3
01/2021;26/01/2021;10:00;MANOBRA;0,1
01/2021;26/01/2021;10:00;PARADA;0,7
01/2021;26/01/2021;10:00;TRABALHANDO;0,9
01/2021;26/01/2021;11:00;DESLOCAMENTO;0,4
01/2021;26/01/2021;11:00;PARADA;0,1
01/2021;26/01/2021;15:00;DESLOC P/ REAB;0,1
01/2021;26/01/2021;15:00;DESLOCAMENTO;0,2
01/2021;26/01/2021;15:00;PARADA;1,1
01/2021;26/01/2021;16:00;DESLOC P/ REAB;0,1
01/2021;26/01/2021;16:00;DESLOCAMENTO;0,1
01/2021;26/01/2021;16:00;MANOBRA;0,1
01/2021;26/01/2021;16:00;PARADA;0,5
01/2021;26/01/2021;16:00;TRABALHANDO;0,8
01/2021;26/01/2021;17:00;DESLOC P/ REAB;0,1
01/2021;26/01/2021;17:00;DESLOCAMENTO;0,2
01/2021;26/01/2021;17:00;MANOBRA;0,1
01/2021;26/01/2021;17:00;PARADA;0,5
01/2021;26/01/2021;17:00;TRABALHANDO;0,8
01/2021;26/01/2021;18:00;TRABALHANDO;0,2
01/2021;27/01/2021;07:00;DESLOCAMENTO;0,1
01/2021;27/01/2021;07:00;PARADA;1,1
01/2021;27/01/2021;08:00;PARADA;1,8
01/2021;27/01/2021;09:00;PARADA;1,0
01/2021;27/01/2021;10:00;PARADA;1,3
01/2021;27/01/2021;11:00;PARADA;1,0
01/2021;27/01/2021;12:00;PARADA;1,1
01/2021;27/01/2021;13:00;DESLOCAMENTO;0,3
01/2021;27/01/2021;13:00;PARADA;1,3
01/2021;27/01/2021;13:00;TRABALHANDO;0,2
01/2021;27/01/2021;14:00;DESLOCAMENTO;0,2
01/2021;27/01/2021;14:00;PARADA;2,0
01/2021;27/01/2021;14:00;TRABALHANDO;0,1
01/2021;27/01/2021;15:00;PARADA;1,5
01/2021;27/01/2021;16:00;DESLOC P/ REAB;0,2
01/2021;27/01/2021;16:00;DESLOCAMENTO;0,1
01/2021;27/01/2021;16:00;MANOBRA;0,1
01/2021;27/01/2021;16:00;PARADA;0,2
01/2021;27/01/2021;16:00;TRABALHANDO;1,2
01/2021;27/01/2021;17:00;DESLOC P/ REAB;0,2
01/2021;27/01/2021;17:00;DESLOCAMENTO;0,3
01/2021;27/01/2021;17:00;PARADA;0,6
01/2021;27/01/2021;17:00;TRABALHANDO;0,8
01/2021;27/01/2021;18:00;DESLOC P/ REAB;0,1
01/2021;27/01/2021;18:00;DESLOCAMENTO;0,2
01/2021;27/01/2021;18:00;MANOBRA;0,1
01/2021;27/01/2021;18:00;PARADA;0,3
01/2021;27/01/2021;18:00;TRABALHANDO;1,3
01/2021;27/01/2021;19:00;DESLOC P/ REAB;0,2
01/2021;27/01/2021;19:00;DESLOCAMENTO;0,3
01/2021;27/01/2021;19:00;MANOBRA;0,1
01/2021;27/01/2021;19:00;PARADA;0,2
01/2021;27/01/2021;19:00;TRABALHANDO;1,2
01/2021;27/01/2021;20:00;DESLOCAMENTO;0,4
01/2021;27/01/2021;20:00;MANOBRA;0,1
01/2021;27/01/2021;20:00;PARADA;0,2
01/2021;27/01/2021;20:00;TRABALHANDO;0,6
01/2021;28/01/2021;04:00;DESLOC P/ REAB;0,2
01/2021;28/01/2021;04:00;DESLOCAMENTO;0,2
01/2021;28/01/2021;04:00;PARADA;0,8
01/2021;28/01/2021;04:00;TRABALHANDO;0,4
01/2021;28/01/2021;05:00;DESLOC P/ REAB;0,1
01/2021;28/01/2021;05:00;DESLOCAMENTO;0,2
01/2021;28/01/2021;05:00;MANOBRA;0,1
01/2021;28/01/2021;05:00;PARADA;0,2
01/2021;28/01/2021;05:00;TRABALHANDO;1,5
01/2021;28/01/2021;06:00;DESLOC P/ REAB;0,2
01/2021;28/01/2021;06:00;DESLOCAMENTO;0,5
01/2021;28/01/2021;06:00;MANOBRA;0,1
01/2021;28/01/2021;06:00;PARADA;0,3
01/2021;28/01/2021;06:00;TRABALHANDO;0,9
01/2021;28/01/2021;07:00;DESLOC P/ REAB;0,3
01/2021;28/01/2021;07:00;PARADA;1,3
01/2021;28/01/2021;07:00;TRABALHANDO;0,4
01/2021;28/01/2021;08:00;DESLOC P/ REAB;0,2
01/2021;28/01/2021;08:00;DESLOCAMENTO;0,4
01/2021;28/01/2021;08:00;MANOBRA;0,1
01/2021;28/01/2021;08:00;PARADA;0,7
01/2021;28/01/2021;08:00;TRABALHANDO;0,6
01/2021;28/01/2021;09:00;DESLOC P/ REAB;0,1
01/2021;28/01/2021;09:00;DESLOCAMENTO;0,2
01/2021;28/01/2021;09:00;MANOBRA;0,1
01/2021;28/01/2021;09:00;PARADA;0,4
01/2021;28/01/2021;09:00;TRABALHANDO;1,1
01/2021;28/01/2021;10:00;DESLOC P/ REAB;0,1
01/2021;28/01/2021;10:00;DESLOCAMENTO;0,5
01/2021;28/01/2021;10:00;PARADA;0,9
01/2021;28/01/2021;10:00;TRABALHANDO;0,2
01/2021;28/01/2021;12:00;PARADA;0,1
01/2021;28/01/2021;13:00;DESLOCAMENTO;0,2
01/2021;28/01/2021;13:00;PARADA;0,7
01/2021;28/01/2021;14:00;PARADA;0,2
01/2021;28/01/2021;15:00;DESLOCAMENTO;0,3
01/2021;28/01/2021;15:00;PARADA;1,6
01/2021;28/01/2021;16:00;PARADA;2,0
01/2021;28/01/2021;17:00;DESLOCAMENTO;0,1
01/2021;28/01/2021;17:00;PARADA;1,5
01/2021;28/01/2021;17:00;TRABALHANDO;0,1
01/2021;28/01/2021;18:00;DESLOCAMENTO;0,3
01/2021;28/01/2021;18:00;MANOBRA;0,1
01/2021;28/01/2021;18:00;PARADA;0,2
01/2021;28/01/2021;18:00;TRABALHANDO;1,2
01/2021;28/01/2021;19:00;DESLOCAMENTO;0,3
01/2021;28/01/2021;19:00;PARADA;0,1
01/2021;29/01/2021;04:00;DESLOCAMENTO;0,4
01/2021;29/01/2021;04:00;PARADA;1,9
01/2021;29/01/2021;05:00;PARADA;2,0
01/2021;29/01/2021;06:00;PARADA;2,3
01/2021;29/01/2021;07:00;PARADA;2,0
01/2021;29/01/2021;08:00;DESLOCAMENTO;0,3
01/2021;29/01/2021;08:00;PARADA;0,4
01/2021;29/01/2021;15:00;DESLOCAMENTO;0,3
01/2021;29/01/2021;15:00;PARADA;1,6
01/2021;29/01/2021;16:00;DESLOCAMENTO;0,1
01/2021;29/01/2021;16:00;PARADA;0,5
01/2021;29/01/2021;16:00;TRABALHANDO;1,0
01/2021;29/01/2021;17:00;DESLOC P/ REAB;0,2
01/2021;29/01/2021;17:00;DESLOCAMENTO;0,1
01/2021;29/01/2021;17:00;MANOBRA;0,1
01/2021;29/01/2021;17:00;PARADA;0,6
01/2021;29/01/2021;17:00;TRABALHANDO;1,0
01/2021;29/01/2021;18:00;DESLOC P/ REAB;0,1
01/2021;29/01/2021;18:00;DESLOCAMENTO;0,1
01/2021;29/01/2021;18:00;MANOBRA;0,1
01/2021;29/01/2021;18:00;PARADA;0,3
01/2021;29/01/2021;18:00;TRABALHANDO;1,4
01/2021;29/01/2021;19:00;DESLOC P/ REAB;0,2
01/2021;29/01/2021;19:00;DESLOCAMENTO;0,2
01/2021;29/01/2021;19:00;PARADA;0,5
01/2021;29/01/2021;19:00;TRABALHANDO;1,0
01/2021;29/01/2021;20:00;DESLOCAMENTO;0,4
01/2021;29/01/2021;20:00;MANOBRA;0,1
01/2021;29/01/2021;20:00;PARADA;0,2
01/2021;29/01/2021;20:00;TRABALHANDO;0,5
01/2021;30/01/2021;04:00;DESLOC P/ REAB;0,3
01/2021;30/01/2021;04:00;DESLOCAMENTO;0,2
01/2021;30/01/2021;04:00;PARADA;0,5
01/2021;30/01/2021;04:00;TRABALHANDO;0,6
01/2021;30/01/2021;05:00;DESLOC P/ REAB;0,2
01/2021;30/01/2021;05:00;MANOBRA;0,2
01/2021;30/01/2021;05:00;PARADA;0,2
01/2021;30/01/2021;05:00;TRABALHANDO;1,4
01/2021;30/01/2021;06:00;DESLOC P/ REAB;0,3
01/2021;30/01/2021;06:00;DESLOCAMENTO;0,1
01/2021;30/01/2021;06:00;PARADA;0,4
01/2021;30/01/2021;06:00;TRABALHANDO;1,1
01/2021;30/01/2021;07:00;DESLOC P/ REAB;0,4
01/2021;30/01/2021;07:00;PARADA;0,7
01/2021;30/01/2021;07:00;TRABALHANDO;0,8
01/2021;30/01/2021;08:00;DESLOC P/ REAB;0,2
01/2021;30/01/2021;08:00;DESLOCAMENTO;0,3
01/2021;30/01/2021;08:00;MANOBRA;0,1
01/2021;30/01/2021;08:00;PARADA;0,1
01/2021;30/01/2021;08:00;TRABALHANDO;1,3
01/2021;30/01/2021;09:00;DESLOCAMENTO;0,7
01/2021;30/01/2021;09:00;MANOBRA;0,1
01/2021;30/01/2021;09:00;PARADA;0,3
01/2021;30/01/2021;09:00;TRABALHANDO;1,0
01/2021;30/01/2021;10:00;DESLOCAMENTO;0,3
01/2021;30/01/2021;10:00;MANOBRA;0,1
01/2021;30/01/2021;10:00;PARADA;0,9
01/2021;30/01/2021;10:00;TRABALHANDO;0,7
01/2021;30/01/2021;11:00;DESLOCAMENTO;0,3
01/2021;30/01/2021;11:00;PARADA;0,3
01/2022;03/01/2022;07:00;DESLOCAMENTO;0,4
01/2022;03/01/2022;07:00;PARADA;0,9
01/2022;03/01/2022;08:00;DESLOCAMENTO;0,1
01/2022;03/01/2022;08:00;PARADA;2,8
01/2022;03/01/2022;09:00;DESLOCAMENTO;0,5
01/2022;03/01/2022;09:00;PARADA;0,7
01/2022;03/01/2022;10:00;DESLOCAMENTO;0,3
01/2022;03/01/2022;10:00;PARADA;1,6
01/2022;03/01/2022;11:00;PARADA;1,0
01/2022;03/01/2022;12:00;PARADA;1,0
